NAME
BuilPIper-API
BuildPiper-TG
BuildpiperApi
BuildpiperClient
BuildpiperNexusCli
BuildpiperNexusUI
IHub-Test
Integration-Sync
Integration-Sync-Https
Integration-SyncConsumer
Integration-SyncConsumer-Https
NLB-API-8443
NLB-API-9643
NLB-TCP-8443
NLB-TCP-9643
Nifi-TG-DA
Perf-Staging-Services
Perf-Staging-Services-Https
Perf-Staging-Web
Perf-Staging-Web-Https
STG-Admin-Major-HTTP
STG-Admin-Major-HTTPS
STG-Admin-MasterCode-HTTP
STG-Admin-MasterCode-HTTPS
STG-Insights-Major-HTTP
STG-Insights-Major-HTTPS
STG-Sync-Major-HTTPS
STG-Web-Major-HTTPS
Security-Staging-Admin
Security-Staging-Admin-Https
Security-Staging-Services
Security-Staging-Services-Https
Security-Staging-Sync
Security-Staging-Sync-Https
Security-Staging-Web
Security-Staging-Web-Https
Staging-DA-ES
Staging-Sync-MasterCode-HTTPS
Test-ELB
Test-ELB2
admin-staging-test-tg
admin-staging-tg
api-manager-test-tg
api-manager-test-tg-https
blue-admin-staging-tg
blue-services-staging-tg
blue-sync-staging-tg
blue-web-staging-tg
buildpiperAdmin
green-admin-staging-test-tg
green-services-staging-test-tg
green-sync-staging-test-tg
green-web-staging-test-tg
hl7
https-web
non-prod-buildpiper
non-prodbuildpiper1
services-staging-tg
sync-staging-tg
tg1
web-perf-tg
web-staging-tg
wso2-perf-ha-test-http
